model,accuracy,precision,recall,f1,auc
LinearSVC_words,0.7467552067612436,0.7452121212121212,0.8305863280194542,0.7855865065167391,0.8251151340478549
LinearSVC_chars,0.7757319649864172,0.7731196054254007,0.847068359902729,0.8084063950489944,0.8513903149298988
LogisticRegression_words,0.7627527920313915,0.7514764942121427,0.8594974331261821,0.8018653894630703,0.8356844188565345
LogisticRegression_chars,0.7799577422275883,0.7693970694210905,0.8654417724939205,0.8145981688708036,0.8573495266929474
SGDClassifier_words,0.7579233323271959,0.7454928588152657,0.8603080248581464,0.7987957852483693,0.8299918017075542
SGDClassifier_chars,0.7740718382130999,0.7535664979291302,0.8848959740610646,0.8139679383621226,0.8518790717223574
